"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"	"tile"	"scanID"
-61,45552058	-34,70582604	-34,439	181	6,432681055	1,65	0	0	0	0	"tile_5_13"	1
-61,14410016	-34,35142361	-34,024	182	35,0386506	29,1	19,45	20,7	36,8	5,3	"tile_5_13"	1
-66,30541782	9,021189596	-8,436	183	26,44397188	25,14	23,74	29	65,5	6,7	"tile_5_15"	1
-52,83390875	-17,15687313	-19,48	184	38,34798784	28,17	14,37	22,3	38,4	5,6	"tile_6_13"	1
-69,764836	-48,55551143	-44,126	185	33,586	28,16	18,81	17,6	34,8	5,2	"tile_5_12"	1
-54,31864818	-20,00740876	-21,974	186	27,78435036	28,77	22,97	10,2	25,3	3,9	"tile_6_13"	1
-51,80415351	-34,5609727	-30,506	187	27,12113514	27,53	15,58	12,5	28,9	4,4	"tile_6_13"	1
-57,70971857	-21,61111667	-24,393	188	31,05742857	28,64	20,84	17,3	33,9	4,9	"tile_5_13"	1
-96,42442856	20,51125473	-14,633	189	14,7242153	16,47	9,82	6,6	14,2	3	"tile_3_15"	1
-96,57086533	26,37211733	-12,123	190	45,26053333	28,83	26,28	30,6	40,6	6,5	"tile_3_16"	1
-51,29184086	-14,45921857	-18,001	191	31,64137143	27,6	15,7	12,1	18	4,3	"tile_6_14"	1
-50,48567415	-20,65271591	-20,784	192	22,612409	20,87	17,32	13	31,6	4,2	"tile_6_13"	1
-47,886654	-21,247865	-20,385	193	23,4018	23,2	16,05	13	28,5	4,4	"tile_6_13"	1
-96,35662576	18,22679837	-15,822	194	31,24971879	27,15	18,05	18,1	36,2	5,1	"tile_3_15"	1
-47,36575929	-18,6991375	-18,66	195	19,48628571	16,9	0	0	0	0	"tile_6_13"	1
-105,207301	20,63601556	-17,516	196	26,84143562	25,24	10,69	14,3	23,1	4,6	"tile_3_15"	1
-101,0953609	21,13300944	-16,455	197	31,43522981	25,71	15,21	19,6	40	5,4	"tile_3_15"	1
-92,0367733	17,53065948	-14,967	198	37,77256652	25,75	15,3	18,5	31	5,1	"tile_4_15"	1
-100,4245222	17,06658239	-17,898	199	26,18438806	29,3	15,65	13,3	24	4,5	"tile_3_15"	1
-84,36578394	15,92945733	-13,216	200	7,770741652	4,54	0	0	0	0	"tile_4_15"	1
-109,1052409	19,98406893	-19,027	201	30,54413333	25,53	18,63	20,8	51,9	5,4	"tile_3_15"	1
-107,4492243	21,60801874	-17,314	202	23	24,1	14,05	8,2	14,2	3,5	"tile_3_15"	1
-108,8287745	25,47077613	-17,099	203	29,58820844	26,71	21,71	38	91,5	7,3	"tile_3_16"	1
-115,4010853	17,93341606	-22,263	204	27,92572727	24,08	19,08	27,4	56,3	6,2	"tile_3_15"	1
-111,9877316	23,23054764	-18,962	205	31,89341573	23,32	19,32	23,8	63,2	6,8	"tile_3_15"	1
-113,0018602	15,79175792	-21,893	206	22,20670413	24,34	15,99	20,6	36,6	5,5	"tile_3_15"	1
-99,73133219	11,41877567	-19,349	207	32,59486984	26,32	15,17	16,8	39,4	4,8	"tile_3_15"	1
-107,0121937	13,7760959	-20,618	208	23,21986592	25,23	17,28	17,9	42,4	5,1	"tile_3_15"	1
-133,9715479	30,76989316	-24,139	209	21,35792982	11,12	6,07	12	8,1	4,5	"tile_2_16"	1
-90,59018918	7,726615607	-18,134	210	37,29956721	26,6	0	0	0	0	"tile_4_15"	1
-104,9802446	6,464885692	-23,687	211	21,38701538	23,73	13,98	25,7	52,7	6	"tile_3_15"	1
-100,8628247	6,866096667	-21,657	212	23,696	22,78	16,23	17,1	54,1	4,9	"tile_3_15"	1
-100,8019791	14,22887869	-18,739	213	19,53783002	24,1	15,45	9,5	22,4	3,7	"tile_3_15"	1
-103,4508087	9,558064308	-20,94	214	23,61495385	24,84	14,99	13,7	32,9	4,3	"tile_3_15"	1
-121,529648	6,117557333	-31,209	215	29,73866667	21,13	11,43	18,2	40,8	4,9	"tile_2_15"	1
-118,2988431	6,325134907	-29,24	216	25,64397516	24,98	12,93	12,2	19	4,3	"tile_2_15"	1
-111,6445171	13,58682299	-21,907	217	19,09344828	22,79	14,19	10,8	22,4	4,1	"tile_3_15"	1
-97,77112256	7,001999545	-20,887	218	21,33191781	24,11	13,51	9,7	18,6	3,8	"tile_3_15"	1
-93,57159693	6,984921467	-19,207	219	29,74381333	24,99	14,59	15,9	29,1	4,7	"tile_4_15"	1
-115,3907151	9,604588919	-25,718	220	20,18275676	24,88	17,78	23,1	40,5	5,8	"tile_3_15"	1
-96,52342598	6,09338908	-20,931	221	25,32894253	26,12	17,97	12,3	31,8	4,5	"tile_3_15"	1
-121,5277575	-2,066426146	-35,845	222	28,32445833	23,32	0	0	0	0	"tile_2_14"	1
-116,3192536	-1,98802747	-32,995	223	25,40380723	24,39	13,14	10,9	19	4,1	"tile_2_14"	1
-113,2164676	-0,894446988	-31,367	224	24,11323695	24,81	16,11	13,4	25	4,4	"tile_3_14"	1
-108,2897924	-12,5549819	-36,462	225	24,41152381	23,62	0	0	0	0	"tile_3_14"	1
-108,4431646	-12,3288728	-36,409	226	22,49113412	20,29	0	0	0	0	"tile_3_14"	1
-126,3098772	-4,612016649	-39,336	227	29,61742703	21,51	0	0	0	0	"tile_2_14"	1
-89,57571924	-6,917789429	-25,95	228	18,46108571	19,95	15,6	14,3	38,2	4,7	"tile_4_14"	1
-95,30846021	-16,97191623	-34,244	229	11,56680822	13,11	0	0	0	0	"tile_4_13"	1
-95,49039162	-17,21235505	-34,294	230	29,57481905	26,4	23,1	14,5	29,9	4,6	"tile_4_13"	1
-111,453468	1,448738667	-29,426	231	26,67586667	23,62	11,88	20	37,6	5,3	"tile_3_14"	1
-116,9400566	13,85932807	-24,395	232	20,59926992	21,5	13,1	14,4	25,3	4,5	"tile_2_15"	1
-99,45843925	-6,054956398	-29,04	233	30,57129193	29,24	18,34	23,5	48,3	6,1	"tile_3_14"	1
-115,0587323	-4,445909432	-33,978	234	25,51023064	24,5	10,65	10	19,2	3,7	"tile_3_14"	1
-86,50235163	-13,62388821	-29,023	235	39,45468293	23,93	18,53	20,4	43,5	5,6	"tile_4_14"	1
-100,6622677	-7,644969333	-30,494	236	26,74112	25,46	13,96	11,7	23,7	4,2	"tile_3_14"	1
-99,14625871	-2,877703742	-27,099	237	20,88432258	2,47	0	0	0	0	"tile_3_14"	1
-86,43316494	-11,75285854	-27,514	238	16,46192941	21,53	10,98	10,2	14,7	4	"tile_4_14"	1
-110,9136092	-4,767701351	-33,042	239	43,1312973	31,96	14,91	23,8	41,2	5,9	"tile_3_14"	1
-108,4383853	-3,263309553	-31,056	240	6,381463687	2,89	0	0	0	0	"tile_3_14"	1
-98,28350054	0,35911965	-24,597	241	24,97954213	26,51	15,61	21,6	47,2	6	"tile_3_14"	1
-99,75022075	-9,632372586	-31,793	242	27,89091643	23,56	6,06	6,2	5,6	3,6	"tile_3_14"	1
-117,14654	-4,8055975	-35,297	243	26,50878571	25,93	15,68	13,3	28,7	4,4	"tile_2_14"	1
-102,7104531	2,042959676	-24,481	244	29,90192432	25,9	16,4	14,9	25,2	4,6	"tile_3_14"	1
-108,8208483	-2,173074286	-29,832	245	27,8256	26,25	15,65	14,7	25,2	4,8	"tile_3_14"	1
-96,03625661	-9,387462486	-30,676	246	31,78379661	28,73	26,23	21,1	48,5	5,6	"tile_4_14"	1
-105,9624457	-4,782581849	-30,341	247	30,35490756	26,47	17,97	11,9	28,6	4,2	"tile_3_14"	1
-92,56777622	-18,08860549	-33,242	248	27,51591416	25,85	14,75	17,3	28,5	5	"tile_4_13"	1
-91,36396661	-20,12699433	-34,571	249	26,24080687	22,41	7,86	17,7	24,4	5,3	"tile_4_13"	1
-104,8528583	-7,296602571	-31,442	250	25,45377143	22,98	11,58	13,7	28,4	4,6	"tile_3_14"	1
-102,5960946	-2,473435784	-27,599	251	32,30056216	29,8	20,7	17,4	26,5	5	"tile_3_14"	1
