"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"
-95,55933733	104,3161573	-77,926	195	49,13946667	27,76	0	0	0	0
-74,37847497	104,4872907	-72,411	196	35	25,77	9,72	16,2	27,1	4,8
-74,12546686	104,5034411	-72,447	197	21,23260952	15,66	0	0	0	0
-83,96798843	102,8353679	-75,231	198	40,53597838	32,08	22,38	26,9	52,5	6,1
-105,839508	86,49467744	-69,196	199	12,06057127	2,4	0	0	0	0
-107,0136188	95,28771062	-74,315	200	5,340066165	3,74	0	0	0	0
-89,62130667	107,525112	-78,617	201	38,05413333	25	20,6	21,2	52,6	5,4
-83,3753646	106,9914629	-77,484	202	34,65664368	28,32	16,62	15,5	33,4	4,7
-102,8911694	86,20745338	-69,042	203	4,762215827	1,39	0	0	0	0
-82,7508461	115,3560539	-81,894	204	45,55150476	33,53	28,13	27,7	64,3	6,3
-78,26144619	109,285201	-77,572	205	50,29952381	33,31	24,71	37,9	89,3	7,2
-74,66894341	120,7985667	-82,979	206	6,011056911	5,26	0	0	0	0
-85,630951	113,1640033	-81,391	207	44,48669856	32,15	0	0	0	0
-104,5151239	87,68086518	-69,471	208	7,865428571	1,57	0	0	0	0
-90,57745961	107,7242429	-78,93	209	4,276588235	4,29	0	0	0	0
-72,9690587	113,7228677	-77,888	210	52,88782703	31,55	25,85	57,1	93,2	8,9
-79,21758645	104,8973871	-75,184	211	42,78051613	1,59	0	0	0	0
-87,31261084	111,5093353	-80,937	212	56,79389558	33,37	24,87	42,5	78,4	7,7
-95,6665854	102,4783549	-76,995	213	28,82365517	28,45	21,95	14,8	42,1	4,8
-78,82330588	117,612602	-82,215	214	45,09288795	27,87	22,82	29,2	83,6	6,3
-70,18942466	120,3503284	-80,968	215	5,507076289	4,31	0	0	0	0
-70,13604975	119,873547	-80,602	216	5,010739496	3,51	0	0	0	0
-96,69549867	65,44717238	-58,388	217	5,910438095	3,97	0	0	0	0
