"x";"y";"z";"id";"BHD";"h";"crownLength";"crownArea";"crownVolume";"crownDiameter";"f";"v"
-229,3852721;-19,03391522;-92,546;280;19,36828499;22,24;18,24;18,3;45,4;5,3;0,51739906702661;0,339025713894646
-243,2038259;-13,37380762;-93,09;281;31,53222857;28,15;11,15;49,8;62,7;8,9;0,471260035670083;1,03594863940032
-245,9739951;-6,859012116;-94,85;282;22,83138551;21,81;14,41;16,7;37,2;4,9;0,494866564959934;0,441873740864688
-4,063436;8,386182286;0,254;283;51,59238095;24,11;0;0;0;0;0,398210606623026;2,00710945473349
-217,0160419;-27,81625497;-92,285;284;5,570140541;5,32;2,77;1,1;1,1;1,3;0,616717902887564;0,00799503511678681
-243,6132506;-3,233567631;-96,345;285;31,33723695;26,74;21,04;28,3;52,7;6,7;0,468438577220428;0,96610724819877
-221,3987336;-30,01898547;-90,476;286;8,465263158;10,98;6,38;3,8;7;2,4;0,56415973116796;0,0348638409882596
-220,4819916;-26,986938;-91,694;287;5,935111111;4;0;0;0;0;0,636560556696862;0,00704445347384938
-233,6625563;-20,50558481;-91,372;288;5,944506329;17,12;12,07;5,3;7,4;3,1;0,554063406282338;0,0263259890860358
-215,2184864;-23,39667286;-94,104;289;6,463950791;8,85;2,1;2,7;1,7;2;0,576022866808013;0,0167289606446403
-232,8792891;-27,50273429;-89,66;290;32,63822857;25,78;22,48;41,1;79,4;7,8;0,460585272730609;0,993427094470583
-239,3085589;-23,40577756;-89,89;291;25,36448878;22,23;0;0;0;0;0,482220982174647;0,541661133789391
-225,1642548;-23,48231619;-91,574;292;17,77133333;12,94;0;0;0;0;0,487960747557992;0,156620667793304
-229,1123251;-17,31220879;-93,058;293;11,85835019;31,46;24,26;41,4;63,9;8,1;0,564572389618996;0,196162856763281
-229,2351688;-17,4722646;-92,907;294;14,65244;7,91;0;0;0;0;0,474725575145842;0,0633182491664956
-225,1341593;-12,73871925;-95,277;295;12,46655;17,06;12,41;11,2;21,7;4;0,549897120091901;0,114509869525382
-241,960372;-8,490877333;-94,783;296;23,51093333;22,45;10,4;14,7;28,3;4,5;0,493066450060787;0,480564205198436
-244,6430277;-23,06539442;-89,645;297;24,44074419;22,36;17,46;29,4;45,3;6,3;0,487621088884979;0,511532240720244
-233,6651237;-22,43602894;-90,739;298;20,93576967;20,39;13,74;11,2;24,3;4,1;0,501576542067945;0,352064460917654
-233,48811;-13,02733076;-93,519;299;7,362705882;2,46;0;0;0;0;0,625372858783194;0,00654996412792608
-231,2635034;-21,68807658;-91,614;300;58,99748892;19,94;0;0;0;0;0,362102050374867;1,97384512830167
-230,9477662;-12,92325953;-94,446;301;10,44616471;8,59;0;0;0;0,3;0,54872853464968;0,0403974850122712
-227,522062;-24,70539626;-91,161;302;17,31021138;18,99;8,99;11,5;22,2;4,1;0,521569319863607;0,233094284980788
