"";"x";"y";"z";"id";"BHD";"h";"crownLength";"crownArea";"crownVolume";"crownDiameter";"f";"v"
"227";-49,15268194;77,4669921;-22,94;227;58,48454473;34,7;30,25;32,8;66,3;6,7;0,413023559040234;3,85013899061112
"228";-39,02339824;59,22472235;-16,807;228;44,23129412;31,24;19,94;32,1;74,6;6,8;0,437527726112423;2,10022478012527
"229";61,60783829;-22,31998579;7,192;229;27,34362857;25,63;0;0;0;0;0,482798353560808;0,726635413697455
"230";-18,06315314;35,128336;-12,276;230;32,74651429;27,2;15,95;17,7;43,8;5,4;0,464128713208204;1,0632303830937
"231";34,02181048;-29,857012;11,591;231;31,08190476;23,22;16,52;15,1;31,8;4,6;0,458635810890336;0,808044557554477
"232";-16,8128764;29,44003876;-10,159;232;38,09775281;29,48;16,43;29;44,5;6,4;0,451223059124611;1,51637761746864
"233";26,15935571;-7,937203333;2,718;233;26,15247619;23,32;18,77;20,4;49,8;5,7;0,481774955492867;0,603515291080904
"234";-14,15458343;29,60203562;-10,609;234;28,32537143;26,17;13,17;19,5;32,2;5,2;0,479742994617581;0,791140236254703
"235";60,33169052;-13,96628469;2,568;235;39,70747132;32,3;27,45;49,9;90,4;8,5;0,452476510971869;1,80980967031853
"236";60,27990927;-9,725119634;0,854;236;37,07033508;32,57;0;0;0;0;0,461161098800669;1,62111314947369
"237";16,65376035;-21,5455273;11,502;237;22,41513043;26,56;22,96;55,8;95;9,3;0,510100293952787;0,534633374929734
"238";-20,48751238;44,56877219;-15,384;238;39,40815238;26,86;18,71;23,3;53,3;5,8;0,440180266972466;1,44211072515501
"239";43,03729848;-10,14017295;-0,184;239;39,37935238;35,22;17,97;31,8;41,2;6,6;0,458856131593668;1,96830733838921
"240";52,761492;-8,851798667;-0,205;240;46,35554286;32,72;20,97;25,1;33,2;6,2;0,43525860965307;2,40355403219563
"241";50,95887524;-8,000278095;-1,217;241;46,33946667;36,9;28,35;41,7;63,7;8;0,44295340429054;2,75661651377405
"242";-25,85606711;52,5010488;-17,38;242;25,97456;25,08;16,33;23;34,9;5,7;0,487889501975463;0,648388473785084
"243";54,68418439;-5,075403952;-1,404;243;47,74216367;30,84;0;0;0;0;0,427715120827415;2,36136460541054
